dataset,fragment,events,generator,time per event,size per event,match efficiency,filter efficiency
BcToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL3p0_ctau1000p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Hadronizer/13TeV/BcToHNLMuX_HNLToMuPi/BcToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL3.0_ctau1000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,2000000,pythia8-evtgen,2.12e+00,5.99e+02,1.0,8.72e-02
BcToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL3p0_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Hadronizer/13TeV/BcToHNLMuX_HNLToMuPi/BcToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL3.0_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,800000,pythia8-evtgen,3.51e+00,6.04e+02,1.0,1.82e-01
BcToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL3p0_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Hadronizer/13TeV/BcToHNLMuX_HNLToMuPi/BcToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL3.0_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,400000,pythia8-evtgen,4.99e+00,6.08e+02,1.0,1.99e-01
BcToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL3p0_ctau1p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Hadronizer/13TeV/BcToHNLMuX_HNLToMuPi/BcToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL3.0_ctau1.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,400000,pythia8-evtgen,3.72e+00,6.04e+02,1.0,1.86e-01
BcToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL4p5_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Hadronizer/13TeV/BcToHNLMuX_HNLToMuPi/BcToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL4.5_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,600000,pythia8-evtgen,2.74e+00,6.13e+02,1.0,1.30e-01
BcToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL4p5_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Hadronizer/13TeV/BcToHNLMuX_HNLToMuPi/BcToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL4.5_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,300000,pythia8-evtgen,2.80e+00,6.12e+02,1.0,1.32e-01
BcToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL4p5_ctau1p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Hadronizer/13TeV/BcToHNLMuX_HNLToMuPi/BcToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL4.5_ctau1.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,300000,pythia8-evtgen,2.66e+00,6.11e+02,1.0,1.33e-01
BcToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL4p5_ctau0p1mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Hadronizer/13TeV/BcToHNLMuX_HNLToMuPi/BcToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL4.5_ctau0.1mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,600000,pythia8-evtgen,2.71e+00,6.15e+02,1.0,1.31e-01
BcToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL5p5_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Hadronizer/13TeV/BcToHNLMuX_HNLToMuPi/BcToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL5.5_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,800000,pythia8-evtgen,3.35e+00,6.11e+02,1.0,1.39e-01
BcToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL5p5_ctau1p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Hadronizer/13TeV/BcToHNLMuX_HNLToMuPi/BcToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL5.5_ctau1.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,800000,pythia8-evtgen,2.45e+00,6.11e+02,1.0,1.39e-01
BcToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL5p5_ctau0p1mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Hadronizer/13TeV/BcToHNLMuX_HNLToMuPi/BcToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL5.5_ctau0.1mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,1000000,pythia8-evtgen,2.48e+00,6.11e+02,1.0,1.39e-01
BcToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL5p5_ctau0p01mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Hadronizer/13TeV/BcToHNLMuX_HNLToMuPi/BcToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL5.5_ctau0.01mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,1000000,pythia8-evtgen,2.48e+00,6.11e+02,1.0,1.40e-01
